순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
141,1198130210,(주)와이드넷엔지니어링,이맹훈,분석,61072630,85.0,89.826,90.13,-0.0763 (99.9237),3 7,2022/09/28 13:58:10,
142,2098122745,새결정보통신(주),고성진,분석,61074834,85.0,89.829,90.134,-0.0726 (99.9274),9 6,2022/09/29 09:34:53,
143,1358131171,(주)금성전기통신공사,김윤환,분석,61075430,85.0,89.83,90.134,-0.0717 (99.9283),14 7,2022/09/28 10:10:21,
144,2158735193,주식회사 시너젠,윤금란,분석,61075660,85.0,89.83,90.135,-0.0713 (99.9287),4 14,2022/09/28 09:36:54,
145,2108131394,(주)안나시스템,문병조,분석,61077279,85.0,89.833,90.137,-0.0686 (99.9314),2 11,2022/09/28 22:41:28,
146,1198137042,(주)진명연합전설,엄재준,분석,61079908,85.0,89.837,90.141,-0.0643 (99.9357),3 4,2022/09/30 09:21:28,
147,2148661411,(주)엘리시스,이시정,분석,61080460,85.0,89.838,90.142,-0.0634 (99.9366),8 13,2022/09/29 09:15:15,
148,2158602337,지엔네텔(주),고시영,분석,61082536,85.0,89.841,90.145,-0.0600 (99.94),8 15,2022/09/30 08:57:49,
149,8228700717,주식회사 해나정보통신,이창현,분석,61082673,85.0,89.841,90.145,-0.0598 (99.9402),5 3,2022/09/28 14:46:52,
150,2078152132,(주)홍남테크,김홍길,분석,61083760,85.0,89.843,90.147,-0.0580 (99.942),5 1,2022/09/29 15:12:19,
151,1088167041,(주)가디엘,최혜심,분석,61085167,85.0,89.845,90.149,-0.0557 (99.9443),6 5,2022/09/29 15:17:06,
152,1048635917,주식회사 비전에스엔씨,김국배,분석,61087970,85.0,89.85,90.153,-0.0512 (99.9488),10 4,2022/09/28 11:00:09,
153,1068194620,(주)합동전자산업,정호원,분석,61088640,85.0,89.851,90.154,-0.0501 (99.9499),1 14,2022/09/27 15:13:39,
154,2158693084,주식회사 온파워아이앤티,송종희,분석,61089900,85.0,89.853,90.156,-0.0480 (99.952),14 5,2022/09/26 09:34:57,
155,1088607693,(주)가온데이터,이기원,분석,61093077,85.0,89.858,90.16,-0.0428 (99.9572),13 2,2022/09/28 11:36:53,
156,1048603486,우영메카(주),김규승,분석,61093791,85.0,89.859,90.162,-0.0416 (99.9584),7 9,2022/09/30 09:46:48,
157,1138157550,뉴코리아전자통신 주식회사,조영순,분석,61094820,85.0,89.861,90.163,-0.0399 (99.9601),6 10,2022/09/29 09:17:24,
158,2138800230,주식회사 성민전기통신,홍종애,분석,61095065,85.0,89.861,90.163,-0.0395 (99.9605),11 8,2022/09/29 00:17:54,
159,2298125412,스크린정보통신(주),조승제,분석,61095432,85.0,89.862,90.164,-0.0389 (99.9611),13 8,2022/09/30 09:19:37,
160,1098161598,(주)삼우씨앤에스,이기만,분석,61098976,85.0,89.867,90.169,-0.0331 (99.9669),6 3,2022/09/28 08:10:56,
161,1208802896,주식회사 라임에스엔씨,김종훈,분석,61104730,85.0,89.876,90.178,-0.0237 (99.9763),3 9,2022/09/28 17:53:46,
162,2068165615,(주)아이커머,조상현,분석,61105639,85.0,89.878,90.179,-0.0222 (99.9778),12 9,2022/09/30 08:49:18,
